指标编号,指标名称,模块,性质,经济含义/定义,单位,统计对象/范围,频率,时点/期间,存量/流量,价格口径,当期/累计,来源编号,原文定位,历史覆盖证据,更新规律,口径断点/修订,公式（文字定义）,输入指标,适用条件,对应体系,问题编号,可能解释,配套证据,误读风险,共享证据组,维度范围,原文链接
B060,对外负债,对外资产负债表,公开发布,非居民持有居民股权、债务等金融负债的期末头寸,亿美元,全国；直接投资分金融和非金融部门，其他投资按工具。,季度,时点,存量,名义,期末,B_S16,行29负债,本次修订2024年以来各季；2025年末新增部门与期限数据。,季度,包含股权的对外负债不是外债；头寸变动含汇率价格等估值不能当资本流量；净资产不代表所有部门流动性充足。,原文发布,,同口径、同报告期；缺失不填零。,F,F1,外部资产负债规模结构,交易流量、价格汇率估值、收益、期限,对外负债含股权不是外债；头寸差额不能等同当期资金流动。,EG-B_S16,全国：已覆盖（中国对外金融头寸）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（直接投资：金融部门；直接投资：非金融部门）,https://www.safe.gov.cn/safe/2026/0327/27298.html
B061,全口径外债余额,对外资产负债表,公开发布,居民对非居民承担还本或付息义务的债务余额，含人民币及外币,亿美元,全国；广义政府、央行、其他存款公司、其他部门、直接投资公司间贷款。,季度,时点,存量,名义,期末,B_S17,正文首段及附表外债总额头寸,2025年末起健全修订机制；时间序列入口B_S18明示2014年12月末以来。,季度,签约短期不能替代剩余期限一年到期债务；本币外债仍是外债；债务率国际参考线不足以单独判安全。,原文发布,,同口径、同报告期；缺失不填零。,F,F1,外部债务规模与部门分布,币种、期限、出口收入、外汇资产,不等于IIP全部负债；总量不是违约风险指标。,EG-B_S17,全国：已覆盖（内地全口径外债）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：已覆盖（广义政府；中央银行；其他接受存款公司；其他部门；直接投资公司间贷款）,https://www.safe.gov.cn/safe/2026/0327/27301.html
B062,签约短期外债余额,对外资产负债表,公开发布,按签约期限划定的短期外债余额,亿美元,全国；广义政府、央行、其他存款公司、其他部门、直接投资公司间贷款。,季度,时点,存量,名义,期末,B_S17,正文期限段及附表注1,2025年末起健全修订机制；时间序列入口B_S18明示2014年12月末以来。,季度,签约短期不能替代剩余期限一年到期债务；本币外债仍是外债；债务率国际参考线不足以单独判安全。,原文发布,,同口径、同报告期；缺失不填零。,F,F1,原始短期限外债结构,剩余期限到期额、储备、币种、贸易信贷,不是未来一年全部到期外债；不能直接宣称剩余期限流动性缺口。,EG-B_S17,全国：已覆盖（内地全口径外债）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：已覆盖（广义政府；中央银行；其他接受存款公司；其他部门）,https://www.safe.gov.cn/safe/2026/0327/27301.html
B063,签约短期外债占比,对外资产负债表,透明派生,签约短期外债余额占全口径外债余额比例,%,全国；广义政府、央行、其他存款公司、其他部门、直接投资公司间贷款。,季度,比率,比率,不适用,期末,B_S17,正文期限结构及附表,2025年末起健全修订机制；时间序列入口B_S18明示2014年12月末以来。,季度,签约短期不能替代剩余期限一年到期债务；本币外债仍是外债；债务率国际参考线不足以单独判安全。,B062 / B061 × 100,B062；B061,同一时点、同一货币单位、同一修订版本；分母>0。；2025年末人民币展示金额复算56.546866%，原文整数份额写56%；不宣称二者精确复现，不自行归因于普通舍入。,F,F1,外债签约期限结构,本币比例、贸易相关信贷、剩余期限,分母含本币外债；不是外币短债或全部一年内到期债务比例。,EG-B_S17,全国：已覆盖（内地全口径外债）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（全口径外债合计）,https://www.safe.gov.cn/safe/2026/0327/27301.html
C001,研究与试验发展（R&D）经费支出,研发规模,公开发布,报告期内各单位内部实际发生的研发支出，含基础、应用、试验发展；资金转拨按执行方统计。,亿元,全国（具体统计边界见定义）,年,期间,流量,名义,全年,C_S01,第一部分：2024年36326.8亿元；C_S02第十部分2025初步39262亿元。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,年,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I1；S1,观察知识生产资源投入。,实际研发人员全时当量；研发活动类型；新产品及产业化证据,名义经费增长不是知识产出或技术进步增长；不与财政支出机械相加。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：已覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：已覆盖（采矿业；制造业；电热燃气水生产供应业；各工业行业大类（附表1））；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（企业；政府属研究机构；高等学校；其他主体）,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html
C002,R&D经费投入强度（GDP口径）,研发规模,公开发布,全社会R&D经费/GDP×100；地区指标分母为地区GDP。,%,全国（具体统计边界见定义）,年,比率,比率,不适用,全年,C_S01,2024年2.69%；附表2；注2—4。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,年,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I,I1,量化研发相对经济体量。,R&D经费原值；GDP修订版本,GDP下调可被动提高强度；不是研发资金效率。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：已覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html
C003,基础研究经费,研发活动类型,公开发布,不预设特定用途、探索基本原理和新知识的实验理论研究的经费支出。,亿元,全国（具体统计边界见定义）,年,期间,流量,名义,全年,C_S01,第一部分分活动类型：2024年2500.9亿元。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,年,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I,I1,观察长期知识储备投入。,其他研发活动经费；专利产业化；行业周期,活动阶段不同、周期不同；不能用当年产出除该项认定因果回报。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html
C004,应用研究经费,研发活动类型,公开发布,为特定实际目标获取新知识、寻找成果用途与实现方法的经费支出。,亿元,全国（具体统计边界见定义）,年,期间,流量,名义,全年,C_S01,第一部分分活动类型：2024年4305.5亿元。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,年,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I,I1,观察面向实际目的的知识开发。,其他研发活动经费；专利产业化；行业周期,活动阶段不同、周期不同；不能用当年产出除该项认定因果回报。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html
C005,试验发展经费,研发活动类型,公开发布,利用科研与经验知识开发或改进产品、工艺的系统性工作的经费支出。,亿元,全国（具体统计边界见定义）,年,期间,流量,名义,全年,C_S01,第一部分分活动类型：2024年29520.4亿元。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,年,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I,I1,观察研发走向产品工艺的资源配置。,其他研发活动经费；专利产业化；行业周期,活动阶段不同、周期不同；不能用当年产出除该项认定因果回报。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html
C006,R&D人员全时当量,研发人力,公开发布,研发人员按实际从事研发时间折合的全年工作量，包含直接研发管理服务。,万人年,全国（具体统计边界见定义）,年,期间,流量,不适用,全年,C_S11,表20-1：2024年756.9，基础59.7、应用89.2、试验发展607.9。,已目视表20-1的2020—2024数据；专利申请2017起由受理数改为申请数脚注；GDP分母用最新核实数据修订。,年,全时当量非人数；研发执行主体企业与资金来源企业不同。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I1；S1,观察研发实际劳动投入。,R&D经费；研发执行主体,不是研发人员人数，不能解读为新增就业人数。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：不适用（）；企业类型：部分覆盖（规模以上工业企业）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/ndsj/2025/html/C20-01.jpg
C007,R&D人员全时当量人均经费,研发投入组合,公开发布,研发支出除研发人员全时当量的官方人均经费。,万元/人年,全国（具体统计边界见定义）,年,比率,比率,名义,全年,C_S01,第一部分：2024年48.0万元。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,年,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,G；I,G2；I1,辅助观察研发资本与劳动投入组合。,研发人员全时当量；R&D支出类型,经费包含资本购置等，不是研究人员平均工资或劳动生产率。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html
C008,企业执行R&D经费占比,创新主体,公开发布,企业作为执行主体发生的研发经费占全社会研发经费。,%,全国（具体统计边界见定义）,年,比率,比率,不适用,全年,C_S01,正文：2024年28211.6亿元，占77.7%。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,年,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I1；S3,考察研发执行是否集中于企业。,高校/政府研究机构经费；研发资金来源,不得与表20-1的企业来源资金28870.4亿元混用。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（企业；政府属研究机构；高等学校；其他主体）,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html
C009,规模以上高技术制造业R&D经费投入强度,产业研发密度,公开发布,规模以上高技术制造业R&D经费与营业收入之比。,%,全国（具体统计边界见定义）,年,比率,比率,不适用,全年,C_S01,分产业部门：2024经费7668.9亿元，强度3.35%。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,年,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I1；I3；S3,比较高技术生产部门研发密度。,高技术行业利润；营业收入；研发周期,分母销售收入不是增加值；与全国GDP强度不可横比。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（高技术制造业）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html
C010,国家财政科学技术支出,公共研发条件,公开发布,国家财政科技支出，包括科学技术功能科目及其他功能支出用于科学技术的金额。,亿元,全国（具体统计边界见定义）,年,期间,流量,名义,全年,C_S01,第二部分及表：2024年12629.2，其中科学技术11510.3、其他1118.9。,已核验2024值、2023修订强度；年鉴2025表20-1有2020—2024原值；统计局科技经费公报栏目存在历年发布。,年,2024 GDP为初核；2023 GDP五经普后修订影响强度。财政科技支出包含其他功能科目用于科技部分，不能仅用一般公共预算科学技术科目代替。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；K；S,K4；I1；S2,观察公共科技资源支持。,政府来源R&D资金；基础研究经费,不是全部投入R&D；不与全社会R&D相加。,EG-科技经费,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：部分覆盖（中央财政；地方财政）,https://www.stats.gov.cn/zwfwck/sjfb/202509/t20250929_1961429.html
C011,发明专利授权量,专利权利,公开发布,报告期经国家知识产权局授予的发明专利权数量，包括境内及国外权利人在中国获授权的权利。,万件,中国授权的发明专利（含境外权利人）,年,期间,流量,不适用,全年,C_S02,第十部分表17：2025年97.2万件（境内89.7）。,全国年度统计公报目录已读，列2011—2025年度；本文多个图列2021—2025但本轮不转录未目视图值。,年,注1明确初步统计。医保有2026-07正式公报修订；此文医疗参保数只作快报版本记录。GDP与人口修订会改写比率。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I,I1,观察技术权利产生或累积。,产业化率；新产品销售；专利年龄结构,授权量受审查与申请滞后影响；有效量受失效续费影响；均不能直接代表经济回报。,EG-C_S02,全国：已覆盖（中国授权的发明专利（含境外权利人））；省级：部分覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：部分覆盖（国内外；境内专利权人）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
C012,有效发明专利量,专利权利,公开发布,报告期末仍处于专利权维持状态的发明专利数量，包括境内及国外权利人在中国获授权的权利。,万件,中国授权的发明专利（含境外权利人）,年,时点,存量,不适用,年末,C_S02,第十部分表17：2025年631.8万件（境内532.0）。,全国年度统计公报目录已读，列2011—2025年度；本文多个图列2021—2025但本轮不转录未目视图值。,年,注1明确初步统计。医保有2026-07正式公报修订；此文医疗参保数只作快报版本记录。GDP与人口修订会改写比率。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I,I1,观察技术权利产生或累积。,产业化率；新产品销售；专利年龄结构,授权量受审查与申请滞后影响；有效量受失效续费影响；均不能直接代表经济回报。,EG-C_S02,全国：已覆盖（中国授权的发明专利（含境外权利人））；省级：部分覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：部分覆盖（国内外；境内专利权人）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
C013,每万人口高价值发明专利拥有量,质量代理,公开发布,每万人口本国居民拥有的有效发明专利中，符合战略新兴/海外同族/维持超10年/较高质押融资/国家科技奖或中国专利奖任一条件的数量。,件/万人,全国（具体统计边界见定义）,年,比率,比率,不适用,年末,C_S02,第十部分及注71：2025年16件。,全国年度统计公报目录已读，列2011—2025年度；本文多个图列2021—2025但本轮不转录未目视图值。,年,注1明确初步统计。医保有2026-07正式公报修订；此文医疗参保数只作快报版本记录。GDP与人口修订会改写比率。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I1；S3,提供比一般件数更有筛选条件的权利存量代理。,高价值分类条件；产业化收益,仍非市场价值总量，五条件之间不可重复求和。,EG-C_S02,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
C014,PCT国际专利申请受理量,海外布局,公开发布,国家知识产权局作为PCT受理局所受理国际申请数量。,万件,全国（具体统计边界见定义）,年,期间,流量,不适用,全年,C_S02,第十部分及注70：2025年7.8万件。,全国年度统计公报目录已读，列2011—2025年度；本文多个图列2021—2025但本轮不转录未目视图值。,年,注1明确初步统计。医保有2026-07正式公报修订；此文医疗参保数只作快报版本记录。GDP与人口修订会改写比率。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I1；S3,观察通过PCT路径寻求多国保护的活动。,海外授权和同族；国际市场收入,PCT受理不是海外授权；不能代表全部海外专利布局。,EG-C_S02,全国：已覆盖（全国（具体统计边界见定义））；省级：部分覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
C015,企业发明专利产业化率,转化实现,公开发布,有效发明专利中用于生产产品并投放市场的比例；可自行或许可他人实现产业化。,%,27省抽样框内拥有2024年末有效专利的国内企业及其专利,年,比率,比率,不适用,不适用,C_S06,印刷页22、84、164：2025年54.0%，2024年53.3%。,报告前言明确年度调查；第三部分直接给2021—2025连续数据；产业化平均收益2021首次测算。,年,涉及27省不等于公开27省完整结果；调查选择和专利年龄影响收益；平均收益不能除当年研发得到ROI。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I2；I3；S3,检验受保护成果是否进入产品市场。,发明授权/有效量；专利年龄；新产品销售,样本只含既有专利企业；未产业化可能是战略储备；不能把产业化率当盈利率。,EG-C_S06,全国：已覆盖（27省抽样框内拥有2024年末有效专利的国内企业及其专利）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：部分覆盖（金属制品；通用设备；专用设备；医药制造；专业技术服务；研究和试验发展）；企业类型：已覆盖（大型；中型；小型；微型）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.cnipa.gov.cn/art/2026/4/1/art_88_205590.html
C016,企业发明专利产业化平均收益,收益验证,公开发布,调查中已产业化发明专利自转化运用日至接受调查日取得的产业化收益金额平均值。,万元/件,受调查国内企业的已产业化发明专利,年,比率,比率,名义,累计,C_S06,印刷页27图27、164定义：2025调查872.0，2024调查869.5。,报告前言明确年度调查；第三部分直接给2021—2025连续数据；产业化平均收益2021首次测算。,年,涉及27省不等于公开27省完整结果；调查选择和专利年龄影响收益；平均收益不能除当年研发得到ROI。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I2；I3；S3,补充进入市场后的收益信息。,产业化收益区间；专利年龄和研发成本；企业财务表现,累计期限不等长、问卷估计；不是2025全年利润、项目IRR或因果净回报。,EG-C_S06,全国：已覆盖（受调查国内企业的已产业化发明专利）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：已覆盖（大型；中型；小型；微型）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.cnipa.gov.cn/art/2026/4/1/art_88_205590.html
C017,企业发明专利研发获取比例,研发与购买路径,公开发布,企业发明专利通过研发方式获得而非转让获取的比例。,%,国内企业拥有的有效发明专利,年,比率,比率,不适用,不适用,C_S06,印刷页1、9、82：2025年87.4%，2024年86.6%。,报告前言明确年度调查；第三部分直接给2021—2025连续数据；产业化平均收益2021首次测算。,年,涉及27省不等于公开27省完整结果；调查选择和专利年龄影响收益；平均收益不能除当年研发得到ROI。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I2；S3,区分内部/合作研发与技术权利购买。,研发合作类型；技术引进和消化支出,研发获取包括合作模式，不代表完全自主或无外部技术依赖。,EG-C_S06,全国：已覆盖（国内企业拥有的有效发明专利）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.cnipa.gov.cn/art/2026/4/1/art_88_205590.html
C018,规模以上工业企业新产品销售收入,新产品市场实现,公开发布,企业销售按统计定义的新产品实现的收入；包括认定新产品及自行研发投产两年内的新产品。,亿元,规模以上工业企业,年,期间,流量,名义,全年,C_S13,表20-4：2024年354694.3亿元；定义p651。,已目视列2004、2009、2023、2024；2011规上门槛500万元改2000万元脚注。,年,不是全社会；跨期企业样本变动；新产品不必是世界首创，收入不等于增加值或利润。web图片读取超时，官网原图已直接下载并目视核验。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I2；I3；S3,检验新产品获得销售市场规模。,新产品成本利润；销售收入总额；研发活动企业比例,不必为世界首创；销售收入不是利润或增加值；不能与全社会GDP相加。,EG-C_S13,全国：已覆盖（规模以上工业企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/ndsj/2025/html/C20-04.jpg
C019,有R&D活动的规模以上工业企业比重,创新扩散,公开发布,有研发活动企业数/规模以上工业企业总数。,%,规模以上工业企业,年,比率,比率,不适用,全年,C_S13,表20-4：2024年161928个、31.3%；2023年30.7%。,已目视列2004、2009、2023、2024；2011规上门槛500万元改2000万元脚注。,年,不是全社会；跨期企业样本变动；新产品不必是世界首创，收入不等于增加值或利润。web图片读取超时，官网原图已直接下载并目视核验。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,I；S,I2；S3,衡量企业开展研发活动的扩散面。,R&D强度；企业规模和所有制,企业数比例不按产出权重；样本进退与规上门槛影响比较。,EG-C_S13,全国：已覆盖（规模以上工业企业）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：不适用（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/ndsj/2025/html/C20-04.jpg
C021,年末人口数,人口规模,公开发布,12月31日24时大陆31省与现役军人人口；不含境内港澳台居民及外籍人员。,万人,全国（具体统计边界见定义）,年,时点,存量,不适用,年末,C_S02,第一部分与注5：2025年140489万人。,全国年度统计公报目录已读，列2011—2025年度；本文多个图列2021—2025但本轮不转录未目视图值。,年,注1明确初步统计。医保有2026-07正式公报修订；此文医疗参保数只作快报版本记录。GDP与人口修订会改写比率。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,D；G,G1；D3,提供人均指标与长期劳动供给边界。,年龄结构；劳动力参与；净迁移,不等于劳动力或消费者有效需求；抽样人数表不可代替人口估计。,EG-C_S02,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（城镇；乡村；男性；女性）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
C022,年末分年龄人口,年龄结构,公开发布,综合公报按0—15、16—59、60及以上及其中65及以上划分，保留互相包含关系。,万人,全国（具体统计边界见定义）,年,时点,存量,不适用,年末,C_S02,表1：2025年23015、85136、32338、22365；注6另列0—14为21276，15—59为86875。,全国年度统计公报目录已读，列2011—2025年度；本文多个图列2021—2025但本轮不转录未目视图值。,年,注1明确初步统计。医保有2026-07正式公报修订；此文医疗参保数只作快报版本记录。GDP与人口修订会改写比率。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,D；G,G1；D3,识别劳动力年龄基础和养老/教育需求。,参与率；就业人数；抚养比,60+含65+不可相加；16—59与15—64抚养比分母不一致；法定年龄不等于实际就业。,EG-C_S02,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：已覆盖（0—15；16—59；60+；65+（包含于60+））；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
C023,人口出生率,人口变动,公开发布,年内活产出生人数/年平均人口×1000。,‰,全国（具体统计边界见定义）,年,比率,比率,不适用,全年,C_S02,第一部分：2025年5.63‰；定义C_S10附人口指标解释。,全国年度统计公报目录已读，列2011—2025年度；本文多个图列2021—2025但本轮不转录未目视图值。,年,注1明确初步统计。医保有2026-07正式公报修订；此文医疗参保数只作快报版本记录。GDP与人口修订会改写比率。,原文发布,,按原文统计范围、报告期和版本使用，不以缺失值代零。,D；G,G1；D3,观察人口自然变动与未来年龄队列。,死亡率；年龄结构；人口迁移,出生率不是总和生育率；自然增长不含迁移，不能推出地区总人口变化。,EG-C_S02,全国：已覆盖（全国（具体统计边界见定义））；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：不适用（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
