映射编号,问题编号,指标编号,指标名称,本指标观察含义,本问题机制,支持证据组合,反向证据组合,替代解释,本问题边界,共享证据组,来源编号
MAP0236,G1,C028,高等教育毛入学率,反映高等教育覆盖规模。,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,EG-C_S03,C_S03
MAP0237,G1,C029,九年义务教育巩固率,观察义务教育队列保留。,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,EG-C_S03,C_S03
MAP0238,G1,C030,普通、职业本专科毕业生数,观察高级人才培养与潜在供给。,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,EG-C_S03,C_S03
MAP0239,G1,C031,研究生毕业生数,观察高级人才培养与潜在供给。,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,EG-C_S03,C_S03
MAP0240,G1,C032,在学研究生数,观察高级人才培养与潜在供给。,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,EG-C_S03,C_S03
MAP0241,G1,C033,高等教育专任教师数,观察教育供给资源。,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,EG-C_S03,C_S03
MAP0242,G1,C056,城镇非私营单位就业人员年平均工资,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,EG-城镇单位工资,C_S15
MAP0243,G1,C057,城镇私营单位就业人员年平均工资,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,EG-城镇单位工资,C_S15
MAP0244,G1,C058,规模以上企业就业人员分岗位年平均工资,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,劳动供给由人口结构、就业参与、健康、教育及技能共同影响。,劳动年龄人口、就业、教育与技能指标给出一致或分化的结构趋势。,人口下降但参与率、工时或人力资本改善抵消部分影响。,退休制度、迁移、教育扩张和调查口径差异。,在校生规模不是现有劳动力技能水平；不同年龄区间不得拼接。,EG-城镇单位工资,C_S15
MAP0245,G2,A004,分产业及行业增加值现价额,识别名义结构权重。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-国民核算,A_S01
MAP0246,G2,A005,分产业及行业增加值实际增速,检查增长是否具有行业广度。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-国民核算,A_S01
MAP0247,G2,A007,资本形成总额对GDP增长的拉动,拆解实际GDP增长的需求来源。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-国民核算,A_S03
MAP0248,G2,B013,规上工业每百元资产实现营业收入,名义资产利用效率线索,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-规上工业财务,B_S01
MAP0249,G2,B014,规上工业人均营业收入,每名用工对应的名义销售收入,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-规上工业财务,B_S01
MAP0250,G2,B015,固定资产投资（不含农户）,观察投资建设投入,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-B_S02,B_S02
MAP0251,G2,B016,设备工器具购置投资增速,设备更新投入信号,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-B_S02,B_S02
MAP0252,G2,C007,R&D人员全时当量人均经费,辅助观察研发资本与劳动投入组合。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-科技经费,C_S01
MAP0253,G2,C050,发电设备累计平均利用小时,辅助观察发电设备使用程度。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-C_S09,C_S09
MAP0254,G2,E001,规上工业增加值实际增长,衡量工业产出变化，与利用率和利润共同验证需求传导。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-E_S01,E_S01
MAP0255,G2,E002,规上工业产品销售率,观察生产与销售衔接，需联合库存和回款。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-E_S01,E_S01
MAP0256,G2,E003,规上工业出口交货值,从工业企业交货端观察外需相关名义活动。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-E_S01,E_S01
MAP0257,G2,E004,规上工业主要产品产量（产品家族）,用实物量检验名义收入与价格变化，观察产品结构。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-E_S01,E_S01
MAP0258,G2,E005,规上工业产能利用率,验证产出增长是否伴随产能使用改善。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-E_S02,E_S02
MAP0259,G2,E006,服务业生产指数实际增长,跟踪月度服务业市场产出。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-E_S04,E_S04
MAP0260,G2,R009,机构部门资本形成总额,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,资本形成与产出、需求和利用率之间的关系提供投资效率线索。,投资扩张伴随产出、利用率和经营回报改善。,投资上升但利用率、销售和利润下降。,建设期滞后、公共品收益、产业周期和价格变化。,固定资产投资不能作为资本存量，投资/新增GDP不直接称作资本回报率。,EG-资金流量,R_FOF
MAP0261,G3,A002,国内生产总值实际增长（同比/季调环比）,观察实际产出变化。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-国民核算,A_S01
MAP0262,G3,A004,分产业及行业增加值现价额,识别名义结构权重。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-国民核算,A_S01
MAP0263,G3,A005,分产业及行业增加值实际增速,检查增长是否具有行业广度。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-国民核算,A_S01
MAP0264,G3,A011,全员劳动生产率,观察每位就业者的平均实际产出。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-国民核算,A_S03
MAP0265,G3,A027,全国企业就业人员周平均工作时间,辅助判断劳动强度。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-劳动力调查,A_S07
MAP0266,G3,A028,全国就业人员年末人数,劳动投入人数规模。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-A_S03,A_S03
MAP0267,G3,C056,城镇非私营单位就业人员年平均工资,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-城镇单位工资,C_S15
MAP0268,G3,C057,城镇私营单位就业人员年平均工资,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-城镇单位工资,C_S15
MAP0269,G3,C058,规模以上企业就业人员分岗位年平均工资,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-城镇单位工资,C_S15
MAP0270,G3,R001,机构部门增加值,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,可比实际产出与匹配就业人数之比反映单位就业者产出。,同版本劳动生产率持续改善，并区分就业、产出与产业结构贡献线索。,改善来自就业分母缩减，或名义价格上涨而非实物效率。,资本深化、工时、行业构成和就业统计修订。,劳动生产率不等同TFP，不用名义GDP/就业冒充实际劳动生产率。,EG-资金流量,R_FOF
MAP0271,G4,A004,分产业及行业增加值现价额,识别名义结构权重。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-国民核算,A_S01
MAP0272,G4,A005,分产业及行业增加值实际增速,检查增长是否具有行业广度。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-国民核算,A_S01
MAP0273,G4,A010,人均国内生产总值现价额,衡量人均生产规模。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-国民核算,A_S03
MAP0274,G4,A011,全员劳动生产率,观察每位就业者的平均实际产出。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-国民核算,A_S03
MAP0275,G4,A014,居民人均可支配收入,观察家庭消费预算基础。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-住户调查,A_S04
MAP0276,G4,B013,规上工业每百元资产实现营业收入,名义资产利用效率线索,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-规上工业财务,B_S01
MAP0277,G4,B014,规上工业人均营业收入,每名用工对应的名义销售收入,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-规上工业财务,B_S01
MAP0278,G4,B015,固定资产投资（不含农户）,观察投资建设投入,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-B_S02,B_S02
MAP0279,G4,C027,16—59岁人口平均受教育年限,观察劳动年龄人口教育积累。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-C_S02,C_S02
MAP0280,G4,C033,高等教育专任教师数,观察教育供给资源。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-C_S03,C_S03
MAP0281,G4,C056,城镇非私营单位就业人员年平均工资,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-城镇单位工资,C_S15
MAP0282,G4,C057,城镇私营单位就业人员年平均工资,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-城镇单位工资,C_S15
MAP0283,G4,C058,规模以上企业就业人员分岗位年平均工资,观察单位就业人员劳动收入水平及行业、登记类型或岗位差异。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-城镇单位工资,C_S15
MAP0284,G4,R001,机构部门增加值,连接部门收入、支出与资金余缺；需结合相邻账户解释变化。,相同统计口径下的产业、劳动与产出差异可支持结构性比较。,同口径地区/行业产出、就业与收入数据形成可重复的比较。,差异由价格、跨地区总部核算、工时和样本覆盖解释。,产业结构、公共服务与自然条件不同。,未经价格与样本控制不将地区人均GDP高低直接解释为技术效率。,EG-资金流量,R_FOF
MAP0285,I1,C001,研究与试验发展（R&D）经费支出,观察知识生产资源投入。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S01
MAP0286,I1,C002,R&D经费投入强度（GDP口径）,量化研发相对经济体量。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S01
MAP0287,I1,C003,基础研究经费,观察长期知识储备投入。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S01
MAP0288,I1,C004,应用研究经费,观察面向实际目的的知识开发。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S01
MAP0289,I1,C005,试验发展经费,观察研发走向产品工艺的资源配置。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S01
MAP0290,I1,C006,R&D人员全时当量,观察研发实际劳动投入。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S11
MAP0291,I1,C007,R&D人员全时当量人均经费,辅助观察研发资本与劳动投入组合。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S01
MAP0292,I1,C008,企业执行R&D经费占比,考察研发执行是否集中于企业。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S01
MAP0293,I1,C009,规模以上高技术制造业R&D经费投入强度,比较高技术生产部门研发密度。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S01
MAP0294,I1,C010,国家财政科学技术支出,观察公共科技资源支持。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-科技经费,C_S01
MAP0295,I1,C011,发明专利授权量,观察技术权利产生或累积。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-C_S02,C_S02
MAP0296,I1,C012,有效发明专利量,观察技术权利产生或累积。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-C_S02,C_S02
MAP0297,I1,C013,每万人口高价值发明专利拥有量,提供比一般件数更有筛选条件的权利存量代理。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-C_S02,C_S02
MAP0298,I1,C014,PCT国际专利申请受理量,观察通过PCT路径寻求多国保护的活动。,研发投入通过有时滞且有失败风险的活动形成知识与技术成果。,研发资金/人员和高价值成果在匹配领域、合理时间窗口内共同改善。,研发扩张但成果质量、应用和市场表现未改善。,申请策略、补贴激励、研发周期和分类变化。,不以当年研发除以当年授权专利简单衡量研发效率。,EG-C_S02,C_S02
MAP0299,I2,B016,设备工器具购置投资增速,设备更新投入信号,知识成果经交易、应用、设备和流程扩散影响生产。,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,合同口径、关联交易、进口设备及市场周期。,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,EG-B_S02,B_S02
MAP0300,I2,C015,企业发明专利产业化率,检验受保护成果是否进入产品市场。,知识成果经交易、应用、设备和流程扩散影响生产。,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,合同口径、关联交易、进口设备及市场周期。,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,EG-C_S06,C_S06
MAP0301,I2,C016,企业发明专利产业化平均收益,补充进入市场后的收益信息。,知识成果经交易、应用、设备和流程扩散影响生产。,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,合同口径、关联交易、进口设备及市场周期。,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,EG-C_S06,C_S06
MAP0302,I2,C017,企业发明专利研发获取比例,区分内部/合作研发与技术权利购买。,知识成果经交易、应用、设备和流程扩散影响生产。,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,合同口径、关联交易、进口设备及市场周期。,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,EG-C_S06,C_S06
MAP0303,I2,C018,规模以上工业企业新产品销售收入,检验新产品获得销售市场规模。,知识成果经交易、应用、设备和流程扩散影响生产。,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,合同口径、关联交易、进口设备及市场周期。,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,EG-C_S13,C_S13
MAP0304,I2,C019,有R&D活动的规模以上工业企业比重,衡量企业开展研发活动的扩散面。,知识成果经交易、应用、设备和流程扩散影响生产。,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,合同口径、关联交易、进口设备及市场周期。,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,EG-C_S13,C_S13
MAP0305,I2,C059,技术合同成交额,观察登记技术市场活动的规模，为成果转化提供交易环节证据。,知识成果经交易、应用、设备和流程扩散影响生产。,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,合同口径、关联交易、进口设备及市场周期。,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,EG-C_S02,C_S02
MAP0306,I2,E004,规上工业主要产品产量（产品家族）,用实物量检验名义收入与价格变化，观察产品结构。,知识成果经交易、应用、设备和流程扩散影响生产。,技术交易、新产品或高技术活动与应用端产出相互印证。,合同额增长但履约、销售或扩散证据不足。,合同口径、关联交易、进口设备及市场周期。,技术合同成交额不等于当年研发成果收入，也不是已实现现金流。,EG-E_S01,E_S01
MAP0307,I3,B001,规上工业营业收入,市场实现收入规模,创新必须结合需求与经营结果观察可持续性。,新产业增加值/收入增长，相关利润和利用率提供补充。,产量或销售扩张伴随降价、亏损或库存积压。,新进入企业前期投入、补贴、产品价格和统计范围。,公开行业总体利润不能归因到全部创新企业，不以规模增长证明投资回报。,EG-规上工业财务,B_S01
MAP0308,I3,B003,规上工业利润总额,盈利及自筹资金能力线索,创新必须结合需求与经营结果观察可持续性。,新产业增加值/收入增长，相关利润和利用率提供补充。,产量或销售扩张伴随降价、亏损或库存积压。,新进入企业前期投入、补贴、产品价格和统计范围。,公开行业总体利润不能归因到全部创新企业，不以规模增长证明投资回报。,EG-规上工业财务,B_S01
