记录类型,记录编号,问题编号,指标编号,维度编号,维度/层级,覆盖状态,已核验成员/分类,来源编号,覆盖依据,限制/版本,核验性质
覆盖检查,CV01648,F1,B033,DIM-HH,居民群体,不适用,,B_S08,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01649,F2,B033,DIM-HH,居民群体,不适用,,B_S08,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01650,K4,B033,DIM-SEC,机构部门,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01651,F1,B033,DIM-SEC,机构部门,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01652,F2,B033,DIM-SEC,机构部门,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01653,K4,B034,DIM-NAT,全国,已覆盖,地方专项债务汇总,B_S08,6月决算报告余额,,已读原表/定义；仅所列范围
覆盖检查,CV01654,F1,B034,DIM-NAT,全国,已覆盖,地方专项债务汇总,B_S08,6月决算报告余额,,已读原表/定义；仅所列范围
覆盖检查,CV01655,F2,B034,DIM-NAT,全国,已覆盖,地方专项债务汇总,B_S08,6月决算报告余额,,已读原表/定义；仅所列范围
覆盖检查,CV01656,K4,B034,DIM-PROV,省级,无稳定公开数据,,B_S08,本页只有全国汇总；发行省级附表不能替代余额,未核验31省该余额连续表。,已读原表/定义；仅所列范围
覆盖检查,CV01657,F1,B034,DIM-PROV,省级,无稳定公开数据,,B_S08,本页只有全国汇总；发行省级附表不能替代余额,未核验31省该余额连续表。,已读原表/定义；仅所列范围
覆盖检查,CV01658,F2,B034,DIM-PROV,省级,无稳定公开数据,,B_S08,本页只有全国汇总；发行省级附表不能替代余额,未核验31省该余额连续表。,已读原表/定义；仅所列范围
覆盖检查,CV01659,K4,B034,DIM-PREF,地级,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01660,F1,B034,DIM-PREF,地级,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01661,F2,B034,DIM-PREF,地级,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01662,K4,B034,DIM-IND,行业,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01663,F1,B034,DIM-IND,行业,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01664,F2,B034,DIM-IND,行业,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01665,K4,B034,DIM-FIRM,企业类型,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01666,F1,B034,DIM-FIRM,企业类型,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01667,F2,B034,DIM-FIRM,企业类型,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01668,K4,B034,DIM-HH,居民群体,不适用,,B_S08,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01669,F1,B034,DIM-HH,居民群体,不适用,,B_S08,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01670,F2,B034,DIM-HH,居民群体,不适用,,B_S08,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01671,K4,B034,DIM-SEC,机构部门,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01672,F1,B034,DIM-SEC,机构部门,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01673,F2,B034,DIM-SEC,机构部门,无稳定公开数据,,B_S08,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01674,K4,B035,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01675,M3,B035,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01676,F1,B035,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01677,F2,B035,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01678,K4,B035,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01679,M3,B035,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01680,F1,B035,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01681,F2,B035,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01682,K4,B035,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01683,M3,B035,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01684,F1,B035,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01685,F2,B035,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01686,K4,B035,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01687,M3,B035,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01688,F1,B035,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01689,F2,B035,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01690,K4,B035,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01691,M3,B035,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01692,F1,B035,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01693,F2,B035,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01694,K4,B035,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01695,M3,B035,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01696,F1,B035,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01697,F2,B035,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01698,K4,B035,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01699,M3,B035,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01700,F1,B035,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01701,F2,B035,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01702,K4,B036,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01703,M3,B036,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01704,F1,B036,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01705,F2,B036,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01706,K4,B036,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01707,M3,B036,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01708,F1,B036,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01709,F2,B036,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01710,K4,B036,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01711,M3,B036,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01712,F1,B036,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01713,F2,B036,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01714,K4,B036,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01715,M3,B036,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01716,F1,B036,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01717,F2,B036,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01718,K4,B036,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01719,M3,B036,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01720,F1,B036,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01721,F2,B036,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01722,K4,B036,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01723,M3,B036,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01724,F1,B036,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01725,F2,B036,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01726,K4,B036,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01727,M3,B036,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01728,F1,B036,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01729,F2,B036,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01730,K4,B037,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01731,F2,B037,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01732,K4,B037,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01733,F2,B037,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01734,K4,B037,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01735,F2,B037,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01736,K4,B037,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01737,F2,B037,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01738,K4,B037,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01739,F2,B037,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01740,K4,B037,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01741,F2,B037,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01742,K4,B037,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01743,F2,B037,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01744,K4,B038,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01745,F2,B038,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01746,F4,B038,DIM-NAT,全国,已覆盖,地方政府债券全国,B_S05,月报累计及当月,,已读原表/定义；仅所列范围
覆盖检查,CV01747,K4,B038,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01748,F2,B038,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01749,F4,B038,DIM-PROV,省级,已覆盖,北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆,B_S06,附表逐列31省发行及偿还本金、付息,本次已核验2025全年截面，未核验全部历史期。,已读原表/定义；仅所列范围
覆盖检查,CV01750,K4,B038,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01751,F2,B038,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01752,F4,B038,DIM-PREF,地级,部分覆盖,大连；宁波；厦门；青岛；深圳,B_S06,计划单列市单列,不代表全国地级市；注意所在省合计口径。,已读原表/定义；仅所列范围
覆盖检查,CV01753,K4,B038,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01754,F2,B038,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01755,F4,B038,DIM-IND,行业,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01756,K4,B038,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01757,F2,B038,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01758,F4,B038,DIM-FIRM,企业类型,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01759,K4,B038,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01760,F2,B038,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01761,F4,B038,DIM-HH,居民群体,不适用,,B_S05,本指标定义不直接接受该维度拆分,不得借用同名但不同范围指标填补,适用性判断
覆盖检查,CV01762,K4,B038,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
覆盖检查,CV01763,F2,B038,DIM-SEC,机构部门,无稳定公开数据,,B_S05,已读来源未提供该维度的稳定全覆盖表；本轮未建立额外逐单元来源,这是本轮证据缺口，不断言其他官方资料不存在；后续需逐表核验,原来源已查；扩展来源待核验
